local_site,DateTime,mmt_num,SM
MRS1,5/10/2018 14:00,2,0.1739
MRS1,5/10/2018 14:00,3,0.054
MRS1,5/10/2018 14:00,4,0.1702
MRS1,5/10/2018 14:00,5,0.2639
MRS1,5/10/2018 15:00,1,0.1005
MRS1,5/10/2018 15:00,2,0.171
MRS1,5/10/2018 15:00,3,0.054
MRS1,5/10/2018 15:00,4,0.1688
MRS1,5/10/2018 15:00,5,0.2618
MRS1,5/10/2018 16:00,1,0.0998
MRS1,5/10/2018 16:00,2,0.1702
MRS1,5/10/2018 16:00,3,0.054
MRS1,5/10/2018 16:00,4,0.1666
MRS1,5/10/2018 16:00,5,0.2618
MRS1,5/10/2018 17:00,1,0.0998
MRS1,5/10/2018 17:00,2,0.1688
MRS1,5/10/2018 17:00,3,0.0533
MRS1,5/10/2018 17:00,4,0.1666
MRS1,5/10/2018 17:00,5,0.2596
MRS1,5/10/2018 18:00,1,0.0991
MRS1,5/10/2018 18:00,2,0.1681
MRS1,5/10/2018 18:00,3,0.054
MRS1,5/10/2018 18:00,4,0.1659
MRS1,5/10/2018 18:00,5,0.2581
MRS1,5/10/2018 19:00,1,0.0991
MRS1,5/10/2018 19:00,2,0.1666
MRS1,5/10/2018 19:00,3,0.0555
MRS1,5/10/2018 19:00,4,0.163
MRS1,5/10/2018 19:00,5,0.2567
MRS1,5/10/2018 20:00,1,0.0976
MRS1,5/10/2018 20:00,2,0.1666
MRS1,5/10/2018 20:00,3,0.054
MRS1,5/10/2018 20:00,4,0.1623
MRS1,5/10/2018 20:00,5,0.2552
MRS1,5/10/2018 21:00,1,0.0976
MRS1,5/10/2018 21:00,2,0.1659
MRS1,5/10/2018 21:00,3,0.0548
MRS1,5/10/2018 21:00,4,0.1608
MRS1,5/10/2018 21:00,5,0.2538
MRS1,5/10/2018 22:00,1,0.0976
MRS1,5/10/2018 22:00,2,0.1652
MRS1,5/10/2018 22:00,3,0.054
MRS1,5/10/2018 22:00,4,0.1601
MRS1,5/10/2018 22:00,5,0.253
MRS1,5/10/2018 23:00,1,0.0991
MRS1,5/10/2018 23:00,2,0.1652
MRS1,5/10/2018 23:00,3,0.0555
MRS1,5/10/2018 23:00,4,0.1601
MRS1,5/10/2018 23:00,5,0.253
MRS1,5/11/2018 0:00,1,0.0991
MRS1,5/11/2018 0:00,2,0.1644
MRS1,5/11/2018 0:00,3,0.054
MRS1,5/11/2018 0:00,4,0.1601
MRS1,5/11/2018 0:00,5,0.2509
MRS1,5/11/2018 1:00,1,0.0976
MRS1,5/11/2018 1:00,2,0.1637
MRS1,5/11/2018 1:00,3,0.0548
MRS1,5/11/2018 1:00,4,0.1586
MRS1,5/11/2018 1:00,5,0.2501
MRS1,5/11/2018 2:00,1,0.0983
MRS1,5/11/2018 2:00,2,0.1637
MRS1,5/11/2018 2:00,3,0.054
MRS1,5/11/2018 2:00,4,0.1586
MRS1,5/11/2018 2:00,5,0.2501
MRS1,5/11/2018 3:00,1,0.0983
MRS1,5/11/2018 3:00,2,0.1637
MRS1,5/11/2018 3:00,3,0.054
MRS1,5/11/2018 3:00,4,0.1564
MRS1,5/11/2018 3:00,5,0.2487
MRS1,5/11/2018 4:00,1,0.0976
MRS1,5/11/2018 4:00,2,0.1637
MRS1,5/11/2018 4:00,3,0.0548
MRS1,5/11/2018 4:00,4,0.1572
MRS1,5/11/2018 4:00,5,0.248
MRS1,5/11/2018 5:00,1,0.0983
MRS1,5/11/2018 5:00,2,0.163
MRS1,5/11/2018 5:00,3,0.0548
MRS1,5/11/2018 5:00,4,0.1572
MRS1,5/11/2018 5:00,5,0.2487
MRS1,5/11/2018 6:00,1,0.0983
MRS1,5/11/2018 6:00,2,0.163
MRS1,5/11/2018 6:00,3,0.0548
MRS1,5/11/2018 6:00,4,0.155
MRS1,5/11/2018 6:00,5,0.2465
MRS1,5/11/2018 7:00,1,0.0983
MRS1,5/11/2018 7:00,2,0.163
MRS1,5/11/2018 7:00,3,0.0548
MRS1,5/11/2018 7:00,4,0.155
MRS1,5/11/2018 7:00,5,0.2458
MRS1,5/11/2018 8:00,1,0.0976
MRS1,5/11/2018 8:00,2,0.163
MRS1,5/11/2018 8:00,3,0.0548
MRS1,5/11/2018 8:00,4,0.155
MRS1,5/11/2018 8:00,5,0.2458
MRS1,5/11/2018 9:00,1,0.0976
MRS1,5/11/2018 9:00,2,0.1637
MRS1,5/11/2018 9:00,3,0.0555
MRS1,5/11/2018 9:00,4,0.1557
MRS1,5/11/2018 9:00,5,0.2451
MRS1,5/11/2018 10:00,1,0.0976
MRS1,5/11/2018 10:00,2,0.1644
MRS1,5/11/2018 10:00,3,0.0555
MRS1,5/11/2018 10:00,4,0.1557
MRS1,5/11/2018 10:00,5,0.2472
MRS1,5/11/2018 11:00,1,0.0991
MRS1,5/11/2018 11:00,2,0.1644
MRS1,5/11/2018 11:00,3,0.0548
MRS1,5/11/2018 11:00,4,0.1572
MRS1,5/11/2018 11:00,5,0.248
MRS1,5/11/2018 12:00,1,0.0976
MRS1,5/11/2018 12:00,2,0.1652
MRS1,5/11/2018 12:00,3,0.0555
MRS1,5/11/2018 12:00,4,0.1557
MRS1,5/11/2018 12:00,5,0.2458
MRS1,5/11/2018 13:00,1,0.0976
MRS1,5/11/2018 13:00,2,0.1644
MRS1,5/11/2018 13:00,3,0.0555
MRS1,5/11/2018 13:00,4,0.155
MRS1,5/11/2018 13:00,5,0.2451
MRS1,5/11/2018 14:00,1,0.0969
MRS1,5/11/2018 14:00,2,0.1637
MRS1,5/11/2018 14:00,3,0.0562
MRS1,5/11/2018 14:00,4,0.1543
MRS1,5/11/2018 14:00,5,0.2443
MRS1,5/11/2018 15:00,1,0.0969
MRS1,5/11/2018 15:00,2,0.163
MRS1,5/11/2018 15:00,3,0.0562
MRS1,5/11/2018 15:00,4,0.1535
MRS1,5/11/2018 15:00,5,0.2436
MRS1,5/11/2018 16:00,1,0.0969
MRS1,5/11/2018 16:00,2,0.163
MRS1,5/11/2018 16:00,3,0.0569
MRS1,5/11/2018 16:00,4,0.1528
MRS1,5/11/2018 16:00,5,0.2429
MRS1,5/11/2018 17:00,1,0.0962
MRS1,5/11/2018 17:00,2,0.1623
MRS1,5/11/2018 17:00,3,0.0569
MRS1,5/11/2018 17:00,4,0.1521
MRS1,5/11/2018 17:00,5,0.2429
MRS1,5/11/2018 18:00,1,0.0954
MRS1,5/11/2018 18:00,2,0.1623
MRS1,5/11/2018 18:00,3,0.0562
MRS1,5/11/2018 18:00,4,0.1521
MRS1,5/11/2018 18:00,5,0.2422
MRS1,5/11/2018 19:00,1,0.0954
MRS1,5/11/2018 19:00,2,0.1615
MRS1,5/11/2018 19:00,3,0.0569
MRS1,5/11/2018 19:00,4,0.1521
MRS1,5/11/2018 19:00,5,0.2414
